=== svc_c0_0.st
  14 chr  1/10 hp 39/42 y1= 90 | P1 scr= 73 wld=159 | P2 scr=128 wld=214 | cam  86/ 86 | P1scr-P2scr= -55 P1wld-P2wld= -55
  15 chr  1/10 hp 39/42 y1= 99 | P1 scr= 43 wld=129 | P2 scr=128 wld=214 | cam  86/ 86 | P1scr-P2scr= -85 P1wld-P2wld= -85
  16 chr  1/10 hp 39/42 y1=128 | P1 scr= 16 wld= 88 | P2 scr=142 wld=214 | cam  72/ 72 | P1scr-P2scr=-126 P1wld-P2wld=-126
  17 chr  1/10 hp 39/42 y1=128 | P1 scr= 17 wld= 87 | P2 scr=144 wld=214 | cam  70/ 70 | P1scr-P2scr=-127 P1wld-P2wld=-127
  18 chr  1/10 hp 39/42 y1=128 | P1 scr= 41 wld=127 | P2 scr=128 wld=214 | cam  86/ 86 | P1scr-P2scr= -87 P1wld-P2wld= -87
  19 chr  1/10 hp 39/42 y1=128 | P1 scr= 51 wld=137 | P2 scr=128 wld=214 | cam  86/ 86 | P1scr-P2scr= -77 P1wld-P2wld= -77
  20 chr  1/10 hp 39/42 y1=128 | P1 scr= 70 wld=156 | P2 scr=128 wld=214 | cam  86/ 86 | P1scr-P2scr= -58 P1wld-P2wld= -58
=== svc_c2_0.st
  00 chr 12/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= -58 P1wld-P2wld= -58
  01 chr 12/10 hp 42/48 y1=128 | P1 scr= 75 wld=137 | P2 scr= 93 wld=155 | cam  62/ 62 | P1scr-P2scr= -18 P1wld-P2wld= -18
  02 chr 12/10 hp 42/48 y1=128 | P1 scr= 79 wld=141 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  03 chr 12/10 hp 42/48 y1=128 | P1 scr= 76 wld=138 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -20 P1wld-P2wld= -20
  04 chr 12/10 hp 40/48 y1=128 | P1 scr= 65 wld=127 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -31 P1wld-P2wld= -31
  05 chr 12/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=102 wld=164 | cam  62/ 62 | P1scr-P2scr= -39 P1wld-P2wld= -39
  06 chr 12/10 hp 39/48 y1=128 | P1 scr= 70 wld=132 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -42 P1wld-P2wld= -42
  07 chr 12/10 hp 39/48 y1=128 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  08 chr 12/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  09 chr 12/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  10 chr 12/10 hp 39/48 y1= 94 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  11 chr 12/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  12 chr 12/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  13 chr 12/10 hp 39/48 y1=128 | P1 scr=103 wld=165 | P2 scr=120 wld=182 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  14 chr 12/10 hp 39/48 y1= 90 | P1 scr= 81 wld=143 | P2 scr=121 wld=183 | cam  62/ 62 | P1scr-P2scr= -40 P1wld-P2wld= -40
  15 chr 12/10 hp 39/48 y1= 99 | P1 scr= 51 wld=113 | P2 scr=121 wld=183 | cam  62/ 62 | P1scr-P2scr= -70 P1wld-P2wld= -70
  16 chr 12/10 hp 39/48 y1=128 | P1 scr= 16 wld= 87 | P2 scr=137 wld=208 | cam  71/ 71 | P1scr-P2scr=-121 P1wld-P2wld=-121
  17 chr 12/10 hp 39/48 y1=128 | P1 scr= 22 wld= 84 | P2 scr=134 wld=196 | cam  62/ 62 | P1scr-P2scr=-112 P1wld-P2wld=-112
  18 chr 12/10 hp 39/48 y1=128 | P1 scr= 59 wld=127 | P2 scr=128 wld=196 | cam  68/ 68 | P1scr-P2scr= -69 P1wld-P2wld= -69
  19 chr 12/10 hp 39/48 y1=128 | P1 scr= 68 wld=136 | P2 scr=128 wld=196 | cam  68/ 68 | P1scr-P2scr= -60 P1wld-P2wld= -60
  20 chr 12/10 hp 39/42 y1=128 | P1 scr= 87 wld=155 | P2 scr=132 wld=200 | cam  68/ 68 | P1scr-P2scr= -45 P1wld-P2wld= -45
=== svc_c3_0.st
